PERMNO,date,TICKER,COMNAM,RET,sprtrn
10032,01/29/2010,PLXS,PLEXUS CORP,0.194171,-0.036974
10032,02/26/2010,PLXS,PLEXUS CORP,0.014114,0.028514
10032,03/31/2010,PLXS,PLEXUS CORP,0.044651,0.058796
10032,04/30/2010,PLXS,PLEXUS CORP,0.029142,0.014759
10032,05/28/2010,PLXS,PLEXUS CORP,-0.081715,-0.081976
10032,06/30/2010,PLXS,PLEXUS CORP,-0.214684,-0.053882
10032,07/30/2010,PLXS,PLEXUS CORP,0.091997,0.068778
10032,08/31/2010,PLXS,PLEXUS CORP,-0.211901,-0.047449
10032,09/30/2010,PLXS,PLEXUS CORP,0.275394,0.087551
10032,10/29/2010,PLXS,PLEXUS CORP,0.034072,0.036856
10032,11/30/2010,PLXS,PLEXUS CORP,-0.105931,-0.002290
10032,12/31/2010,PLXS,PLEXUS CORP,0.140225,0.065300
10032,01/31/2011,PLXS,PLEXUS CORP,-0.126050,0.022646
10032,02/28/2011,PLXS,PLEXUS CORP,0.162352,0.031957
10032,03/31/2011,PLXS,PLEXUS CORP,0.115495,-0.001047
10032,04/29/2011,PLXS,PLEXUS CORP,0.040787,0.028495
10032,05/31/2011,PLXS,PLEXUS CORP,0.021650,-0.013501
10032,06/30/2011,PLXS,PLEXUS CORP,-0.066255,-0.018258
10032,07/29/2011,PLXS,PLEXUS CORP,-0.152255,-0.021474
10032,08/31/2011,PLXS,PLEXUS CORP,-0.099288,-0.056791
10032,09/30/2011,PLXS,PLEXUS CORP,-0.148984,-0.071762
10032,10/31/2011,PLXS,PLEXUS CORP,0.136163,0.107723
10032,11/30/2011,PLXS,PLEXUS CORP,0.056420,-0.005059
10032,12/30/2011,PLXS,PLEXUS CORP,0.008471,0.008533
10032,01/31/2012,PLXS,PLEXUS CORP,0.322863,0.043583
10032,02/29/2012,PLXS,PLEXUS CORP,-0.041966,0.040589
10032,03/30/2012,PLXS,PLEXUS CORP,0.008357,0.031332
10032,04/30/2012,PLXS,PLEXUS CORP,-0.074879,-0.007497
10032,05/31/2012,PLXS,PLEXUS CORP,-0.135002,-0.062651
10032,06/29/2012,PLXS,PLEXUS CORP,0.007143,0.039555
10032,07/31/2012,PLXS,PLEXUS CORP,0.018440,0.012598
10032,08/31/2012,PLXS,PLEXUS CORP,0.040738,0.019763
10032,09/28/2012,PLXS,PLEXUS CORP,0.013382,0.024236
10032,10/31/2012,PLXS,PLEXUS CORP,-0.111588,-0.019789
10032,11/30/2012,PLXS,PLEXUS CORP,-0.139725,0.002847
10032,12/31/2012,PLXS,PLEXUS CORP,0.114471,0.007068
10032,01/31/2013,PLXS,PLEXUS CORP,-0.010853,0.050428
10032,02/28/2013,PLXS,PLEXUS CORP,-0.045455,0.011061
10032,03/28/2013,PLXS,PLEXUS CORP,-0.002053,0.035988
10032,04/30/2013,PLXS,PLEXUS CORP,0.109420,0.018086
10032,05/31/2013,PLXS,PLEXUS CORP,0.081943,0.020763
10032,06/28/2013,PLXS,PLEXUS CORP,0.024332,-0.014999
10032,07/31/2013,PLXS,PLEXUS CORP,0.169957,0.049462
10032,08/30/2013,PLXS,PLEXUS CORP,-0.063769,-0.031298
10032,09/30/2013,PLXS,PLEXUS CORP,0.135003,0.029749
10032,10/31/2013,PLXS,PLEXUS CORP,0.030140,0.044596
10032,11/29/2013,PLXS,PLEXUS CORP,0.054598,0.028049
10032,12/31/2013,PLXS,PLEXUS CORP,0.072331,0.023563
10032,01/31/2014,PLXS,PLEXUS CORP,-0.096789,-0.035583
10032,02/28/2014,PLXS,PLEXUS CORP,0.052430,0.043117
10032,03/31/2014,PLXS,PLEXUS CORP,-0.026245,0.006932
10032,04/30/2014,PLXS,PLEXUS CORP,0.046169,0.006201
10032,05/30/2014,PLXS,PLEXUS CORP,-0.003817,0.021030
10032,06/30/2014,PLXS,PLEXUS CORP,0.036638,0.019058
10032,07/31/2014,PLXS,PLEXUS CORP,-0.091476,-0.015080
10032,08/29/2014,PLXS,PLEXUS CORP,0.047292,0.037655
10032,09/30/2014,PLXS,PLEXUS CORP,-0.103423,-0.015514
10032,10/31/2014,PLXS,PLEXUS CORP,0.119686,0.023201
10032,11/28/2014,PLXS,PLEXUS CORP,-0.056590,0.024534
10032,12/31/2014,PLXS,PLEXUS CORP,0.056396,-0.004189
10032,01/30/2015,PLXS,PLEXUS CORP,-0.080563,-0.031041
10078,01/29/2010,JAVA,SUN MICROSYSTEMS INC,,-0.036974
10232,01/29/2010,ESBK,ELMIRA SAVINGS BANK FSB NY,-0.050149,-0.036974
10232,02/26/2010,ESBK,ELMIRA SAVINGS BANK FSB NY,-0.018856,0.028514
10232,03/31/2010,ESBK,ELMIRA SAVINGS BANK FSB NY,0.114670,0.058796
10232,04/30/2010,ESBK,ELMIRA SAVINGS BANK FSB NY,-0.012209,0.014759
10232,05/28/2010,ESBK,ELMIRA SAVINGS BANK FSB NY,-0.053855,-0.081976
10232,06/30/2010,ESBK,ELMIRA SAVINGS BANK FSB NY,0.069984,-0.053882
10232,07/30/2010,ESBK,ELMIRA SAVINGS BANK FSB NY,-0.058529,0.068778
10232,08/31/2010,ESBK,ELMIRA SAVINGS BANK FSB NY,-0.020619,-0.047449
10232,09/30/2010,ESBK,ELMIRA SAVINGS BANK FSB NY,0.063796,0.087551
10232,10/29/2010,ESBK,ELMIRA SAVINGS BANK FSB NY,-0.016692,0.036856
10232,11/30/2010,ESBK,ELMIRA SAVINGS BANK FSB NY,0.056790,-0.002290
10232,12/31/2010,ESBK,ELMIRA SAVINGS BANK FSB NY,0.077687,0.065300
10232,01/31/2011,ESBK,ELMIRA SAVINGS BANK FSB NY,-0.049863,0.022646
10232,02/28/2011,ESBK,ELMIRA SAVINGS BANK FSB NY,-0.002307,0.031957
10232,03/31/2011,ESBK,ELMIRA SAVINGS BANK FSB NY,0.019653,-0.001047
10232,04/29/2011,ESBK,ELMIRA SAVINGS BANK FSB NY,-0.053670,0.028495
10232,05/31/2011,ESBK,ELMIRA SAVINGS BANK FSB NY,0.023988,-0.013501
10232,06/30/2011,ESBK,ELMIRA SAVINGS BANK FSB NY,0.017225,-0.018258
10232,07/29/2011,ESBK,ELMIRA SAVINGS BANK FSB NY,-0.031840,-0.021474
10232,08/31/2011,ESBK,ELMIRA SAVINGS BANK FSB NY,-0.035866,-0.056791
10232,09/30/2011,ESBK,ELMIRA SAVINGS BANK FSB NY,0.024275,-0.071762
10232,10/31/2011,ESBK,ELMIRA SAVINGS BANK FSB NY,-0.032720,0.107723
10232,11/30/2011,ESBK,ELMIRA SAVINGS BANK FSB NY,0.058634,-0.005059
10232,12/30/2011,ESBK,ELMIRA SAVINGS BANK FSB NY,0.109775,0.008533
10232,01/31/2012,ESBK,ELMIRA SAVINGS BANK FSB NY,0.006351,0.043583
10232,02/29/2012,ESBK,ELMIRA SAVINGS BANK FSB NY,0.089199,0.040589
10232,03/30/2012,ESBK,ELMIRA SAVINGS BANK FSB NY,0.112529,0.031332
10232,04/30/2012,ESBK,ELMIRA SAVINGS BANK FSB NY,-0.037970,-0.007497
10232,05/31/2012,ESBK,ELMIRA SAVINGS BANK FSB NY,-0.008421,-0.062651
10232,06/29/2012,ESBK,ELMIRA SAVINGS BANK NY,0.037951,0.039555
10232,07/31/2012,ESBK,ELMIRA SAVINGS BANK NY,-0.014740,0.012598
10232,08/31/2012,ESBK,ELMIRA SAVINGS BANK NY,0.022572,0.019763
10232,09/28/2012,ESBK,ELMIRA SAVINGS BANK NY,0.028234,0.024236
10232,10/31/2012,ESBK,ELMIRA SAVINGS BANK NY,0.105556,-0.019789
10232,11/30/2012,ESBK,ELMIRA SAVINGS BANK NY,-0.058017,0.002847
10232,12/31/2012,ESBK,ELMIRA SAVINGS BANK NY,0.169108,0.007068
10232,01/31/2013,ESBK,ELMIRA SAVINGS BANK NY,0.024187,0.050428
10232,02/28/2013,ESBK,ELMIRA SAVINGS BANK NY,0.017175,0.011061
10232,03/28/2013,ESBK,ELMIRA SAVINGS BANK NY,0.079780,0.035988
10232,04/30/2013,ESBK,ELMIRA SAVINGS BANK NY,-0.055227,0.018086
10232,05/31/2013,ESBK,ELMIRA SAVINGS BANK NY,-0.041754,0.020763
10232,06/28/2013,ESBK,ELMIRA SAVINGS BANK NY,-0.050980,-0.014999
10232,07/31/2013,ESBK,ELMIRA SAVINGS BANK NY,0.021856,0.049462
10232,08/30/2013,ESBK,ELMIRA SAVINGS BANK NY,0.044394,-0.031298
10232,09/30/2013,ESBK,ELMIRA SAVINGS BANK NY,0.065717,0.029749
10232,10/31/2013,ESBK,ELMIRA SAVINGS BANK NY,-0.054778,0.044596
